case_id,label,requirement,gold_span_count,gold_evidence_excerpt,top_retrieved_chunk_ids,top_retrieved_excerpt,gold_best_rank,failure_family,notes
train::421::nda-19,Entailment,Some obligations of Agreement may survive termination of Agreement.,2,"Master Distributor shall not, during the term of this Agreement and the Master Distributorship Agreement, and for a period of three (3) years following termination, for any reason, of the Master Distributorship Agreement, disclose, use, reveal, report, publish, disclose, transfer, or make available,","17,19,18,15,1","Master Distributor recognizes and agrees: (i) that the covenants and agreements contained in Sections 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12 and 13 of this Agreement are of the essence of this Agreement; (ii) that each of such covenants is reasonable and necessary to protect and preserve the interests a",11,ranking_failure_gold_beyond_top_k,
train::421::nda-17,Contradiction,Receiving Party may create a copy of some Confidential Information in some circumstances.,1,"Master Distributor further agrees not to copy, reverse engineer, disassemble, decompile or otherwise reproduce any Product or its equivalent, in whole or in part.","7,1,9,3,12","(i) Production processes, quality control processes and/or procedures, marketing techniques, purchasing information, pricing policies, quoting procedures, financial information, customer names and requirements, customer data and other materials or information relating to the manner in which Company ",10,ranking_failure_gold_beyond_top_k,
train::427::nda-2,Contradiction,Confidential Information shall only include technical information.,1,"You will treat confidentially any information (whether written or oral) that either we or our financial advisor, CREDIT SUISSE FIRST BOSTON CORPORATION (""CSFB""), or our other representatives furnish to you in connection with a Possible Transaction involving the Company, together with analyses, compi","1,2,3,4,5","You recognize and acknowledge the competitive value of the Evaluation Materials and the damage that could result to the Company if the Evaluation Materials were used or disclosed except as authorized by this Agreement.
The term ""Evaluation Materials"" includes information furnished to you orally or i",9,ranking_failure_gold_beyond_top_k,
train::427::nda-18,Entailment,Receiving Party shall not solicit some of Disclosing Party's representatives.,3,"Without the Company's prior consent, neither your or anybody acting on your behalf shall directly or indirectly for a period of two years from the date hereof  (b) employ or hire the services of any executive, managerial, supervisory, technical, or geological employee, of Zeigler, provided that you ","3,2,4,5,1","In the event that you or any of your representatives receive a request or are required (by deposition, interrogatory, request for documents, subpoena, civil investigative demand or similar process) to disclose all or any part of the Evaluation Materials, you or your representatives as the case may b",7,ranking_failure_gold_beyond_top_k,
train::428::nda-15,Entailment,Agreement shall not grant Receiving Party any right to Confidential Information.,1,"4. To the extent the Evaluation Material includes or otherwise involves intellectual property, technical data, technology, processes, applications for patents, trade secrets or know-how, disclosure thereof to Participant or its Representatives by or on behalf of Originator, Target or any of their re","4,3,0,8,10","(d) ""Evaluation Material"" shall not include any information which Participant can demonstrate (i) was or becomes generally available to the public other than as a result of a disclosure by Participant or its Representatives, or (ii) was or becomes available to Participant or its Representatives on a",12,ranking_failure_gold_beyond_top_k,
train::428::nda-18,Entailment,Receiving Party shall not solicit some of Disclosing Party's representatives.,2,"5. Participant hereby covenants and agrees that for a period of eighteen months following the date hereof, it shall not, without the prior written consent of Originator (which will not be unreasonably withheld) directly or indirectly: (b) initiate discussions with respect to the prospective employme","3,2,4,8,5","(b) Participant agrees that Participant will not disclose to any person (including other possible bidders for Target and employees, customers and suppliers of Target) that the Evaluation Material has been made available to Participant, that Participant has inspected any portion thereof, the fact tha",10,ranking_failure_gold_beyond_top_k,
train::430::nda-7,Contradiction,"Receiving Party may share some Confidential Information with some third-parties (including consultants, agents and professional advisors).",1,"Selling Shareholder shall not, without the prior written approval of Dollar Tree, at any time copy, reproduce, disclose or divulge to any third party, use or permit others to use any confidential information of SAI or Dollar Tree (including financial information, sources of supplies and materials, p","10,9,21,11,1","This Section 4 shall not apply if (a) such information is already known to such party or to others not bound by a duty of confidentiality or such information is or becomes publicly available through no fault of Selling Shareholder or Selling Shareholder's Affiliates, (b) the use of such information ",8,ranking_failure_gold_beyond_top_k,
train::438::nda-2,Contradiction,Confidential Information shall only include technical information.,1,"In connection with the possible transaction (the ""Proposed Transaction"") between DTM Corporation (together with its subsidiaries, ""DTM"") and 3D Systems Corporation (together with its subsidiaries, ""3D""), and in order to allow DTM and 3D to evaluate the Proposed Transaction, each of DTM and 3D have a","1,3,4,6,11",All information (i) about the Disclosing Party or (ii) about a third party (which information was provided to the Disclosing Party subject to a confidentiality agreement with such third party) furnished by the Disclosing Party or its Representatives (as defined below) to the Receiving Party or its R,11,ranking_failure_gold_beyond_top_k,
train::439::nda-15,Entailment,Agreement shall not grant Receiving Party any right to Confidential Information.,3,"MS and its suppliers shall retain title and all ownership rights to the Product. (a) MS grants to Recipient a limited, non-exclusive, nontransferable, royalty-free license to use up to five copies of the executable Product code on CPU's residing at Recipient's premises solely to test the compatibili","5,4,6,7,9","6. CONFIDENTIALITY. The Product and related information is proprietary and confidential information to MS and its suppliers. Recipient agrees not to disclose or provide the Product, documentation, or any related information (including the Product features or the results of use or testing) to any thi",7,ranking_failure_gold_beyond_top_k,
train::441::nda-15,Entailment,Agreement shall not grant Receiving Party any right to Confidential Information.,3,"(a) remains the property of the Discloser, and  All Proprietary Information, unless otherwise specified in writing,  No other rights, and particularly licenses, trademarks, inventions, copyrights, patents, or any other intellectual property rights are implied or granted under the Credit Agreement or","2,6,0,7,1","The term ""Proprietary Information"" does not include information which: (a) has been or may in the future be published or is now or may in the future be otherwise in the public domain through no fault of the Recipient; (b) prior to disclosure pursuant to this Agreement is properly within the legitima",8,ranking_failure_gold_beyond_top_k,
train::441::nda-17,Entailment,Receiving Party may create a copy of some Confidential Information in some circumstances.,1,Proprietary Information supplied is not to be reproduced in any form except as required to accomplish the intent of this Agreement.,"6,4,2,1,5","7. Right to Disclose. Each party warrants that it has the right to disclose all Proprietary Information which it will disclose to the other party pursuant to this Agreement, and each party agrees to indemnify and hold harmless the other from all claims by a third party related to the wrongful disclo",6,ranking_failure_gold_beyond_top_k,
train::441::nda-8,Entailment,"Receiving Party shall notify Disclosing Party in case Receiving Party is required by law, regulation or judicial process to disclose any Confidential Information.",2,"(f) is obligated to be produced by law or under order of a court of competent jurisdiction or other similar requirement of a governmental agency, or is required to be disclosed to, or is requested by, the Recipient's outside auditors or examiners in connection with an audit or examination or so long","7,1,6,4,0","9. Disclosure to Third Parties. All media releases and pubic announcements or disclosures by either party relating to this Agreement, its subject matter or the purpose of this Agreement are to be coordinated with and consented to by the other party in writing prior to the release or announcement.
10",6,ranking_failure_gold_beyond_top_k,
train::441::nda-4,Entailment,Receiving Party shall not use any Confidential Information for any purpose other than the purposes stated in Agreement.,3,"(b) must be used by the Recipient only for the purpose stated herein.  3. Use. Each party agrees to use the Proprietary Information received from the other party only for the purpose of the servicing or protection of its interests in respect of the Loans, the Credit Agreement and the Loan Documents ","2,7,1,6,8","The term ""Proprietary Information"" does not include information which: (a) has been or may in the future be published or is now or may in the future be otherwise in the public domain through no fault of the Recipient; (b) prior to disclosure pursuant to this Agreement is properly within the legitima",6,ranking_failure_gold_beyond_top_k,
train::447::nda-15,Entailment,Agreement shall not grant Receiving Party any right to Confidential Information.,2,"5. Nothing contained in this Non-Disclosure Agreement shall be construed as granting to or conferring on CONSULTANT, expressly or impliedly, any rights, by license or otherwise, to the Confidential Information of NYNEX or any other material, information or data, or any invention, discovery, improvem","2,8,5,3,1","1. For the purposes of this Non-Disclosure Agreement, the term ""Confidential Information"" shall mean material, information, data and other communications (a) disclosed by NYNEX and/or one or more of its parent, subsidiary or affiliated corporations, appropriately marked as ""Confidential,"" ""Proprieta",6,ranking_failure_gold_beyond_top_k,
train::447::nda-2,Contradiction,Confidential Information shall only include technical information.,1,"WHEREAS, in order for CONSULTANT to provide consultant services to NYNEX it may be necessary or desirable for NYNEX to disclose to CONSULTANT certain confidential and proprietary material, information, data, and other communications concerning NYNEX's past, current, future and proposed or potential ","2,6,4,3,5","1. For the purposes of this Non-Disclosure Agreement, the term ""Confidential Information"" shall mean material, information, data and other communications (a) disclosed by NYNEX and/or one or more of its parent, subsidiary or affiliated corporations, appropriately marked as ""Confidential,"" ""Proprieta",7,ranking_failure_gold_beyond_top_k,
train::453::nda-3,Entailment,Confidential Information may include verbally conveyed information.,1,"""Information"" is defined as communications or data including, but not limited to, business information, marketing plans, technical or financial information, customer lists or proposals, sketches, models, samples, computer programs and documentation, drawings, specifications, whether conveyed in oral","1,2,4,3,5","2. All Information related to the parties' business or technical discussions described in the Preamble to this Agreement that is disclosed by one Party (""Disclosing Party"") to the other (""Receiving Party"") shall be protected by the Receiving Party.
3. Information of the Disclosing Party shall remain",6,ranking_failure_gold_beyond_top_k,
train::459::nda-16,Entailment,Receiving Party shall destroy or return some Confidential Information upon the termination of Agreement.,4,"NON-DISCLOSURE, ASSIGNMENT OF INVENTIONS AND NON-COMPETITION AGREEMENT In any event, I will return all such materials and property immediately upon termination of my employment for any reason.  I will not take with me any such material or property or any copies thereof upon such termination. I agree","1,8,10,11,2","I understand and agree that my employment creates a relationship of confidence and trust between me and the Company with respect to (a) all proprietary and confidential information of the Company, and (b) the confidential information of others with which the Company has a business relationship. The ",6,ranking_failure_gold_beyond_top_k,
train::459::nda-15,Entailment,Agreement shall not grant Receiving Party any right to Confidential Information.,1,"All documents, records, apparatus, equipment and other physical property, whether or not pertaining to Confidential Information, which are furnished to me by the Company or are produced by me in connection with my employment will be and remain the sole property of the Company. ","2,1,5,7,10",This restriction shall not apply to: (i) information that may be disclosed generally or is in the public domain through no fault of mine; (ii) information received from a third party outside the Company that was disclosed without a breach of any confidentiality obligation; or (iii) information that ,8,ranking_failure_gold_beyond_top_k,
train::459::nda-12,Entailment,Receiving Party may independently develop information similar to Confidential Information.,2,My obligation to assign Inventions shall not apply to any invention about which I can prove that:  (i) it was developed entirely on my own time and effort; ,"1,2,5,3,0","I understand and agree that my employment creates a relationship of confidence and trust between me and the Company with respect to (a) all proprietary and confidential information of the Company, and (b) the confidential information of others with which the Company has a business relationship. The ",8,ranking_failure_gold_beyond_top_k,
train::462::nda-15,Entailment,Agreement shall not grant Receiving Party any right to Confidential Information.,2,"5. All written data delivered by Owner to the Recipient pursuant to this Agreement shall be and remain the property of Owner, and all such written data, and all copies thereof, shall be promptly returned to Owner upon written request, or destroyed at Owner's option. 7. Nothing contained in this Agre","5,2,1,3,0","11. Neither Party makes any representations or warranties as to the accuracy or completeness of the Confidential Information and neither Party shall have any liability to the other resulting from any use of the Confidential Information which is consistent with this Agreement.
12. Without impairing a",6,ranking_failure_gold_beyond_top_k,
train::462::nda-20,Contradiction,Receiving Party may retain some Confidential Information even after the return or destruction of Confidential Information.,1,"5. All written data delivered by Owner to the Recipient pursuant to this Agreement shall be and remain the property of Owner, and all such written data, and all copies thereof, shall be promptly returned to Owner upon written request, or destroyed at Owner's option.","2,3,1,0,5","2. Notwithstanding the provisions of Paragraph 1 above, the Parties may disclose the Confidential Information disclosed under this Agreement to their employees and/or agents, but only for the purpose of supplying the Party with sufficient information to enable the Party to evaluate the potential val",6,ranking_failure_gold_beyond_top_k,
train::467::nda-15,Entailment,Agreement shall not grant Receiving Party any right to Confidential Information.,2,"All Proprietary/Confidential Information disclosed pursuant to this Agreement shall be and remain the property of the disclosing party.  Nothing in this Agreement shall be construed as granting or confirming any rights by license or otherwise expressly impliedly or otherwise, for any of the Propriet","2,3,1,6,5","For a period of 5 years from the date of this Agreement, the receiving party shall not publish, disseminate nor disclose any Proprietary/Confidential Information received from any of the other parties to any third party accept to those of its own employment having valid need to know the information ",6,ranking_failure_gold_beyond_top_k,
train::467::nda-10,Entailment,Receiving Party shall not disclose the fact that Agreement was agreed or negotiated.,1,"The terms of this Agreement are confidential and shall not be disclosed to third parties without the written consent of all parties, accept to the extent required by a court or regulatory agency of competent jurisdiction.","2,3,6,5,1","For a period of 5 years from the date of this Agreement, the receiving party shall not publish, disseminate nor disclose any Proprietary/Confidential Information received from any of the other parties to any third party accept to those of its own employment having valid need to know the information ",6,ranking_failure_gold_beyond_top_k,
train::474::nda-12,Entailment,Receiving Party may independently develop information similar to Confidential Information.,2,"(iv) is independently developed by the recipient without use of Evaluation Material; or  The term ""Evaluation Material"" does not include information which ","3,5,6,1,7","Each party hereby agrees that it and its Representatives shall use the other party's Evaluation Material solely for the purpose of evaluating, negotiating and consummating a possible transaction between the parties, and that the disclosing party's Evaluation Material will be kept confidential and ea",6,ranking_failure_gold_beyond_top_k,
train::474::nda-18,Entailment,Receiving Party shall not solicit some of Disclosing Party's representatives.,1,"In consideration of the furnishing of Evaluation Material hereunder, each party agrees that, for a period of two years from the date hereof, neither such party nor any of its controlled affiliates will solicit to employ any of the current officers or employees of the other party with whom such party","3,4,1,7,5","Each party hereby agrees that it and its Representatives shall use the other party's Evaluation Material solely for the purpose of evaluating, negotiating and consummating a possible transaction between the parties, and that the disclosing party's Evaluation Material will be kept confidential and ea",7,ranking_failure_gold_beyond_top_k,
train::474::nda-13,Entailment,Receiving Party may acquire information similar to Confidential Information from a third party.,2,"(iii) is or becomes available to the receiving party on a non-confidential basis from a source other than the disclosing party, or any of its Representatives, provided that such source was not known by the receiving party to be bound by a confidentiality agreement with, or other contractual, legal o","5,6,3,1,4","In the event that a party or any of its Representatives are requested or required (by oral questions, interrogatories, requests for information or documents in legal proceedings, subpoena, civil investigative demand or other similar process) to disclose any of the other party's Evaluation Material, ",6,ranking_failure_gold_beyond_top_k,
train::477::nda-2,Contradiction,Confidential Information shall only include technical information.,1,"""Confidential Information"" includes, without limitation, information relating to released or unreleased Disclosing Party software or hardware products, the marketing or promotion of any Disclosing Party product, Disclosing Party's business policies or practices, and information received from others ","1,4,6,2,5",(b) Confidential Information shall not include any information that: (i) is or subsequently becomes publicly available without Receiving Party's breach of any obligation owed Disclosing Party; (ii) became known to Receiving Party prior to Disclosing Party's disclosure of such information to Receivin,6,ranking_failure_gold_beyond_top_k,
train::477::nda-1,Contradiction,All Confidential Information shall be expressly identified by the Disclosing Party.,1,"(a) ""Confidential Information"" means nonpublic information that Disclosing Party designates as being confidential or which, under the circumstances surrounding disclosure ought to be treated as confidential. ","2,3,1,4,7","(b) Receiving Party shall take reasonable security precautions, at least as great as the precautions it takes to protect its own confidential information, to keep confidential the Confidential Information. Receiving Party may disclose Confidential Information or Confidential Material only to Receivi",7,ranking_failure_gold_beyond_top_k,
train::477::nda-4,Contradiction,Receiving Party shall not use any Confidential Information for any purpose other than the purposes stated in Agreement.,1,"Further, either party shall be free to use for any purpose the residuals resulting from access to or work with such Confidential Information, provided that such party shall maintain the confidentiality of the Confidential Information as provided herein. ","1,2,4,3,7",(b) Confidential Information shall not include any information that: (i) is or subsequently becomes publicly available without Receiving Party's breach of any obligation owed Disclosing Party; (ii) became known to Receiving Party prior to Disclosing Party's disclosure of such information to Receivin,7,ranking_failure_gold_beyond_top_k,
train::481::nda-19,Entailment,Some obligations of Agreement may survive termination of Agreement.,1,Such covenant and agreement shall survive termination of this Agreement for any reason whatsoever.,"4,2,3,5,6","7. This Agreement shall be binding upon, and inure to the benefit of the heirs, legal representatives, successors, designees, and/or assigns of the Parties. The executor, administrator, or personal representative of a deceased party shall execute and deliver any document(s) or legal instrument(s) ne",6,ranking_failure_gold_beyond_top_k,
train::485::nda-10,Entailment,Receiving Party shall not disclose the fact that Agreement was agreed or negotiated.,1,"In addition, the existence and terms of this Agreement, and the fact and substance of Company's discussions and correspondence with Broker relating to the Transactions, including the identification of either party by name or identifiable in connection with the parties' participation in such process,","5,7,4,3,1","7. Neither this Agreement, nor the disclosure of Information under this Agreement, nor the ongoing discussions and correspondence by the parties concerning the Transactions or any other matter, shall constitute or imply any promise or intention to make any purchase or use of products, facilities or ",8,ranking_failure_gold_beyond_top_k,
train::487::nda-3,Entailment,Confidential Information may include verbally conveyed information.,1,"In connection therewith, Level 3 and NNT may disclose to each other technical, financial and/or other information, material, or data which is written, oral or in any other form, electronic or otherwise (collectively ""Data"") which is considered confidential and proprietary.","1,3,2,5,4","2. CONFIDENTIAL DATA. ""Confidential Data"" means (a) any Data disclosed by or on behalf of a party (""disclosing party"") to the other party (""receiving party""), including, without limitation, (i) any materials, trade secrets, know-how, formulas, processes, algorithms, ideas, strategies, inventions, da",6,ranking_failure_gold_beyond_top_k,
train::500::nda-15,Entailment,Agreement shall not grant Receiving Party any right to Confidential Information.,1,"Pinetree agrees that all Proprietary Material disclosed shall remain the property of STI, and nothing herein shall be construed as the grant of a license or any other right, either directly or indirectly, by implication, estoppel or otherwise, to any Proprietary Material. ","2,5,3,1,0","2. TERM OF DUTY NOT TO DISCLOSE. Unless a particular portion of Proprietary Information becomes nonproprietary as provided in Section 4(a) hereof, or unless otherwise authorized in a written agreement signed by an authorized officer of STI, Pinetree has a duty to protect each particular portion of P",6,ranking_failure_gold_beyond_top_k,
train::500::nda-19,Entailment,Some obligations of Agreement may survive termination of Agreement.,1,"The redelivery or destruction of the Proprietary Information shall be certified by Pinetree in writing to STI, and shall not in any way relieve Pinetree of its obligation of confidentiality.","9,8,10,7,3","7. CONSTRUCTION. If for any reason any provision of this Agreement shall be deemed by a court of competent jurisdiction to be legally invalid or unenforceable, the validity, legality and enforceability of the remainder of this Agreement shall not be affected, and such provision shall be deemed modif",8,ranking_failure_gold_beyond_top_k,
train::503::nda-8,Entailment,"Receiving Party shall notify Disclosing Party in case Receiving Party is required by law, regulation or judicial process to disclose any Confidential Information.",2,"(v) required to be disclosed by any law, government regulation, or judicial or other governmental order, provided that, if legally permissible, the Company provides reasonable advance written notice to ABRH to afford ABRH the opportunity to seek a protective order or waive compliance with the provis","6,2,4,8,3","If the Company becomes legally obligated or receives a subpoena or other legal demand issued by a court of competent jurisdiction or governmental body to disclose any Confidential Information, it shall cooperate with ABRH in seeking a protective order or other appropriate remedy, and shall use reaso",10,ranking_failure_gold_beyond_top_k,
train::504::nda-18,Entailment,Receiving Party shall not solicit some of Disclosing Party's representatives.,1,"Until the first anniversary of the date hereof, EnCana will not, nor will it permit any of its subsidiaries, directors, officers or employees to, directly or indirectly, solicit or hire the services, as employee, consultant or otherwise, of any employee of TBI or its subsidiaries with whom EnCana ha","4,11,3,5,12","EnCana agrees to be responsible for any breach of this letter agreement by any of its Representatives.
 2. Non-Disclosure of Discussions. Each Party agrees that, without the prior written consent of the other party, such party and its Representatives will not disclose to any other person (other than",8,ranking_failure_gold_beyond_top_k,
train::504::nda-13,Entailment,Receiving Party may acquire information similar to Confidential Information from a third party.,2,"(iii) has already been or is hereafter independently acquired or developed by EnCana without violating any confidentiality agreement or secrecy obligation to TBI.  The term ""Evaluation Material"" shall mean all information, data and analysis furnished by TBI or its Representatives to EnCana or its Re","3,2,4,11,9","Accordingly, EnCana agrees that the Evaluation Material will be used solely for the purpose of evaluating the Transaction and related actions, and that such information will be kept confidential by EnCana and its Representatives; provided, however, that (w) such information may be disclosed by EnCan",7,ranking_failure_gold_beyond_top_k,
train::509::nda-18,Entailment,Receiving Party shall not solicit some of Disclosing Party's representatives.,2,"Accordingly, AZZ agrees not to directly or indirectly contact or communicate with any executive or other employee of North American concerning the Transaction, or to seek any information in connection therewith from such person, without the consent of North American.  For a period of two (2) years a","2,3,1,4,7","2. Excluded Information. The Confidential Information shall not include information that (i) is or becomes publicly available other than as a result of acts by the Receiving Party or its Representatives in breach of the terms of this Agreement, (ii) is in the Receiving Party’s possession or the poss",9,ranking_failure_gold_beyond_top_k,
train::512::nda-15,Entailment,Agreement shall not grant Receiving Party any right to Confidential Information.,2,"Contractor agrees that all right, title and interest in any and all copyrights, copyright registrations and copyrightable subject matter which occur as a result of our work for the Company shall be the sole and exclusive property of the Company, and agree that such works comprise works made for hire","4,3,5,13,8","Any information of the Company which is deemed a “trade secret” by the California Uniform Trade Secret Act shall be considered to be confidential information and therefore within the scope of this Agreement, unless the Company advises Contractor otherwise in writing. Contractor further agrees to pre",7,ranking_failure_gold_beyond_top_k,
train::513::nda-19,Entailment,Some obligations of Agreement may survive termination of Agreement.,3,"6. Upon the Disclosing Party’s written request, the Recipient shall promptly destroy or return to the Disclosing Party all written Confidential Information (whether prepared by the Disclosing party or its Representatives) and will not retain any copies, extracts or other reproductions in whole or in","12,11,10,13,3","14. The parties agree that unless and until a definitive written agreement or other binding agreement between the parties with respect to a relationship of the type contemplated by the Proposed Transaction has been executed and delivered by each party hereto, no party will be under any obligation of",7,ranking_failure_gold_beyond_top_k,
train::515::nda-2,Contradiction,Confidential Information shall only include technical information.,2,"b. “Confidential Information” shall mean any and all materials, records, data, documents, lists, writings, and information (whether in writing, printed, electronically stored, computerized, on disk or otherwise, including, but not limited to, all copies, summaries, analyses, drafts, and extracts) re","5,7,6,8,10","Confidential Information shall not include information that: (i) is or becomes readily or publicly available, not as a result of a violation of this Agreement or other obligation of confidence, directly or indirectly, of the disclosing party; (ii) is developed by other parties, including, but not li",6,ranking_failure_gold_beyond_top_k,
train::515::nda-19,Entailment,Some obligations of Agreement may survive termination of Agreement.,2,"Except as set forth below, the covenants in Sections 4, 5, 6 and 23 shall survive the termination of Employee’s employment with a Financial Institution regardless of the reason for termination.  If the Merger is not consummated and the Merger Agreement is terminated, Sections 4, 5, 6 and 23 shall su","11,15,20,14,2","In consideration of the covenants of all Financial Institutions contained herein, Employee agrees that during Employee’s employment with a Financial Institution, and for a period of two (2) years immediately following the termination of Employee’s employment with a Financial Institution, for whateve",9,ranking_failure_gold_beyond_top_k,
train::515::nda-18,Entailment,Receiving Party shall not solicit some of Disclosing Party's representatives.,8,"In consideration of the covenants of all Financial Institutions contained herein, Employee agrees that during Employee’s employment with a Financial Institution, and for a period of two (2) years immediately following the termination of Employee’s employment with a Financial Institution, for whateve","7,5,10,6,21","Nothing in this Section 4, or any other provision of this Agreement, shall be construed to prohibit Employee from reporting conduct to, providing truthful information to, or participating in any investigation or proceeding brought or conducted by any federal or state government agency or self-regula",6,ranking_failure_gold_beyond_top_k,
train::516::nda-2,Contradiction,Confidential Information shall only include technical information.,1,"(a) The term “Evaluation Material” means information concerning the Provider which has been or is furnished to the Recipient or its Representatives (as defined below) in connection with the Recipient’s evaluation of a Possible Transaction, including its business, financial condition, operations, ass","2,5,12,4,7","The term Evaluation Material does not include information which (i) is or becomes publicly available other than as a result of a disclosure by the Recipient or its Representatives in breach of this Agreement, (ii) was within the Recipient’s possession prior to its being furnished to the Recipient by",12,ranking_failure_gold_beyond_top_k,
train::516::nda-4,Entailment,Receiving Party shall not use any Confidential Information for any purpose other than the purposes stated in Agreement.,1,"Each Recipient shall use the Evaluation Material solely for the purpose of evaluating a Possible Transaction and, subject to Section 5, will not disclose any of the Evaluation Material in any manner whatsoever; provided, however, that any of such information may be disclosed to the Recipient’s Repre","2,4,13,7,12","The term Evaluation Material does not include information which (i) is or becomes publicly available other than as a result of a disclosure by the Recipient or its Representatives in breach of this Agreement, (ii) was within the Recipient’s possession prior to its being furnished to the Recipient by",6,ranking_failure_gold_beyond_top_k,
train::517::nda-2,Contradiction,Confidential Information shall only include technical information.,1,"Confidential Information does not need to be marked as such and is defined as any and all technical, business financial and other information belonging to either party, including but not limited to products, descriptions, drawings, bills of material, assembly drawings, compositions, business plans, ","1,4,3,2,8","Confidential Information shall not include information, technical data or knowledge which:
a. is already known to the Receiving Party;
b. is or becomes publicly known through no wrongful act of the Receiving Party;
c. is rightfully received from a third party without restrictions and without breach ",6,ranking_failure_gold_beyond_top_k,
train::518::nda-10,Entailment,Receiving Party shall not disclose the fact that Agreement was agreed or negotiated.,2,"The Receiving Party:  (d) shall not disclose to any person (other than those of its Representatives who are actively and directly participating in the Evaluation or who otherwise need to know for the purpose of the Evaluation) any information about the Evaluation, or the terms or conditions or any o","12,15,10,7,11","14. The Receiving Party acknowledges that neither the Disclosing Party nor its Representatives nor any of the officers, directors, employees, agents or controlling persons of such Representatives makes any express or implied representation or warranty regarding the Confidential Information, includin",6,ranking_failure_gold_beyond_top_k,
train::518::nda-12,Entailment,Receiving Party may independently develop information similar to Confidential Information.,4,Each party acknowledges that the other may already possess or have developed products or services similar to or competitive with those of the other party disclosed in the Confidential Information.  4. The above restrictions on the use or disclosure of the Confidential Information shall not apply to ,"1,7,9,3,8","2. As used herein, “Confidential Information” shall mean all information furnished by the Disclosing Party or its Representatives (defined below) to the Receiving Party or its Representatives which is either designated in writing by the Disclosing Party as confidential or should be reasonably unders",9,ranking_failure_gold_beyond_top_k,
train::518::nda-17,Entailment,Receiving Party may create a copy of some Confidential Information in some circumstances.,1,3. Confidential Information shall not be reproduced in any form except as required to accomplish the intent of this Agreement. ,"9,7,1,3,12","9. Upon the Disclosing Party’s written request, the Receiving Party shall (at the Receiving Party’s election) promptly return or destroy (provided that any such destruction shall be certified by a duly authorized Representative of the Receiving Party) all Confidential Information of the Disclosing P",9,ranking_failure_gold_beyond_top_k,
train::518::nda-13,Entailment,Receiving Party may acquire information similar to Confidential Information from a third party.,6,"6. Nothing in this Agreement shall prohibit or restrict either party’s right to develop, make, use, market, license or distribute products or services similar to or competitive with those of the other party disclosed in the Confidential Information as long as it shall not thereby breach this Agreeme","7,1,2,3,9","7. In the event that the Receiving Party or any of its Representatives are requested pursuant to, or required by, applicable law or regulation or by legal process to disclose any Confidential Information or any other information concerning the Disclosing Party or the Evaluation, the Receiving Party ",11,ranking_failure_gold_beyond_top_k,
train::519::nda-19,Entailment,Some obligations of Agreement may survive termination of Agreement.,4,(ii) the termination of this Agreement shall not relieve any Party from any liability with respect to any violation or breach of any provision contained in this Agreement. (i) the restrictions and covenants set forth in this Agreement relating to Confidential Information consisting of or relating to,"18,10,9,21,11","12. Miscellaneous; Termination.
(a) For purposes of this Agreement, a Party’s “Representatives” will be deemed to include each Person that is or becomes (i) a subsidiary or other affiliate of such Party, or (ii) an officer, director, employee, partner, attorney, advisor, accountant, agent or represe",11,ranking_failure_gold_beyond_top_k,
train::519::nda-18,Entailment,Receiving Party shall not solicit some of Disclosing Party's representatives.,2,"During the nine (9) month period commencing on the Effective Date, neither Party nor any of such Party’s Representatives will directly or indirectly solicit for employment, hire or induce or encourage (in each case, other than by means of a general solicitation pursuant to a newspaper or other media","19,4,2,16,10","(e) By making Confidential Information or other information available to a Recipient or a Recipient’s Representatives, a Disclosing Party is not, and shall not be deemed to be, granting (expressly or by implication) any license or other right under or with respect to any patent, trade secret, copyri",12,ranking_failure_gold_beyond_top_k,
train::522::nda-10,Entailment,Receiving Party shall not disclose the fact that Agreement was agreed or negotiated.,1,Confidential Information also includes both the existence and content of discussions between the Parties with respect to a potential business transaction or relationship. ,"2,3,7,5,0","3. Protection of Confidential Information. The Receiving Party agrees that it will use diligent efforts to protect the secrecy and confidentiality of and avoid disclosure of the Confidential Information of the Disclosing Party, including implementing equivalent security measures and degree of care t",7,ranking_failure_gold_beyond_top_k,
train::522::nda-1,Contradiction,All Confidential Information shall be expressly identified by the Disclosing Party.,2,"Confidential Information also includes any other document provided by a Party that is clearly marked or otherwise identified as “Confidential”.  As used in this Agreement, “Confidential Information” means all information whether of a technical, business, financial or other nature (including, without","3,4,2,6,0","5. Receiving Party Personnel. The Receiving Party shall expressly restrict the possession, knowledge, development and use of Confidential Information to its partners, employees, consultants, professional advisors, agents, subcontractors and entities controlled by the Receiving Party or hired or enga",6,ranking_failure_gold_beyond_top_k,
train::524::nda-2,Contradiction,Confidential Information shall only include technical information.,1,"B. During the negotiations relating to the Transaction, each party (the ""Receiving Party"") understands that the other party (the ""Disclosing Party"") has disclosed or may disclose information relating to the Disclosing Party's business (including, without limitation, computer programs, technical draw","3,7,4,5,2","The term ""Evaluation Material"" does not include information which (i) is or becomes generally available to the public other than as a result of a breach of this Agreement by the Receiving Party, (ii) was within the Receiving Party's possession prior to its being furnished to the Receiving Party by o",6,ranking_failure_gold_beyond_top_k,
